Token,File_Type,Count
1,.log,3287
ui,.css,2744
dummy_development,.log,2604
find,.log,2445
MONGODB,.log,1794
localhost,.log,1794
27017,.log,1785
req,.log,1770
background,.css,1682
this,.js,1461
if,.js,1320
the,.js,1217
BSON,.log,1029
end,.rb,945
function,.js,944
0,.log,917
STARTED,.log,885
SUCCEEDED,.log,885
sconn,.log,885
conn,.log,885
that,.js,862
id,.log,858
db,.log,838
self,.js,838
type,.log,835
lsid,.log,834
Binary,.log,834
uuid,.log,826
data,.log,826
filter,.log,815
_id,.log,786
sort,.log,761
0,.css,736
001s,.log,722
limit,.log,709
color,.css,670
102,.log,648
btn,.css,643
ui,.js,640
image,.css,630
to,.js,608
0x42940,.log,599
0,.js,599
linear,.css,597
mobile,.js,596
gradient,.css,588
0x60ee9d577bb34404,.log,584
border,.css,571
code,.log,554
webkit,.css,524
a,.css,520
bar,.css,515
body,.css,510
o,.js,496
jinda_services,.log,495
options,.js,495
element,.js,476
shadow,.css,470
return,.js,467
a,.js,457
var,.js,422
module_code,.log,412
1,.js,408
left,.css,405
moz,.css,403
page,.js,395
is,.js,379
def,.rb,378
link,.css,372
start,.css,372
end,.css,372
icon,.css,368
false,.js,368
radius,.css,361
d,.css,359
event,.js,355
b,.css,354
c,.css,354
e,.js,349
true,.js,339
e,.css,338
for,.js,323
i,.js,320
1px,.css,315
font,.css,314
in,.js,308
data,.js,301
top,.css,301
global,.css,278
bottom,.css,263
do,.rb,260
type,.rb,256
jqmData,.js,250
and,.js,241
bdown,.css,240
bhover,.css,240
bup,.css,240
right,.css,236
xvars,.rb,235
url,.js,233
user,.rb,229
config,.rb,220
window,.js,219
code,.rb,218
field,.rb,217
users,.log,214
attr,.js,211
bind,.js,210
length,.js,207
if,.rb,206
text,.css,204
we,.js,203
value,.js,203
width,.css,200
hover,.css,198
else,.js,197
div,.js,196
ObjectId,.log,195
document,.js,188
addClass,.js,186
theDate,.js,186
f,.css,184
g,.css,184
of,.js,181
params,.rb,181
input,.js,181
to,.rb,177
theme,.js,177
notes,.log,174
String,.rb,168
role,.js,168
undefined,.js,168
y,.js,166
margin,.css,163
it,.js,162
jinda_modules,.log,162
x,.js,161
to,.css,161
type,.js,160
on,.js,159
id,.rb,159
el,.js,159
96,.log,158
name,.log,158
radii,.css,156
jinda,.rb,152
1,.css,151
settings,.js,151
transform,.css,150
0x42960,.log,150
hash,.js,150
0x3ac272a8500545f2,.log,148
weight,.css,148
from,.css,145
be,.js,145
link,.log,144
runseq,.rb,143
true,.rb,142
box,.css,141
auth_token,.log,141
find,.js,139
active,.css,137
inherit,.css,137
Jinda,.rb,137
path,.js,135
target,.js,133
link,.js,133
2489ce,.css,132
bold,.css,132
transition,.js,131
position,.css,129
the,.rb,129
corner,.css,129
0px,.css,129
10,.css,128
animation,.css,128
SLlz0C2TYUEXKjeoDibNkA,.log,126
input,.css,126
6em,.css,126
btn,.js,126
Chrome,.css,124
1em,.css,124
rb,.rb,124
visited,.css,122
Allocations,.log,121
method,.js,120
title,.rb,120
testDate,.js,120
li,.css,119
d,.js,119
haml,.log,119
jQuery,.js,118
val,.js,118
jinda,.log,117
block,.css,116
layouts,.log,116
class,.rb,115
href,.js,115
not,.js,115
include,.rb,114
solid,.css,113
datebox,.js,113
none,.css,113
xmain,.rb,112
ffffff,.css,112
2,.js,112
name,.js,111
padding,.css,110
body,.rb,109
s,.js,109
trigger,.js,108
create,.rb,108
articles,.log,108
class,.js,108
family,.css,107
removeClass,.js,106
li,.js,106
0,.rb,106
n,.rb,106
in,.rb,106
null,.js,105
ms,.css,104
display,.css,104
new,.rb,103
set,.js,103
case,.js,103
from,.js,102
o,.css,102
disabled,.js,102
height,.css,101
or,.js,101
widget,.js,101
eeeeee,.css,100
1,.rb,100
font,.scss,100
icon,.js,100
t,.js,100
Rendered,.log,100
Duration,.log,100
validator,.js,100
50,.css,98
note,.rb,98
require,.rb,98
new,.js,97
down,.css,97
html,.js,96
date,.js,96
delete,.log,96
update,.log,95
appendTo,.js,95
92,.log,94
email,.rb,94
text,.js,93
calmode,.js,92
100,.css,92
an,.js,92
docs,.log,92
action,.rb,91
app,.rb,91
s,.rb,91
from,.rb,91
button,.js,91
0,.scss,90
with,.js,90
current_ma_user,.rb,90
inner,.css,90
article,.rb,90
first,.js,89
select,.css,89
self,.rb,89
doc,.rb,89
User,.rb,88
as,.js,86
else,.rb,86
user_id,.rb,85
seq,.log,84
true,.log,83
hashchange,.js,83
0x43060,.log,81
false,.rb,81
redirect_to,.rb,81
up,.css,80
select,.js,80
time,.js,80
File,.rb,80
buttons,.css,80
0x545cd1aa94034b64,.log,80
Note,.rb,79
base,.js,79
service,.rb,79
urlHistory,.js,79
page,.rb,79
blocks,.css,78
top,.js,78
header,.js,78
destroy,.rb,78
f9f9f9,.css,77
dfdfdf,.css,77
preventDefault,.js,77
module,.rb,77
file,.rb,77
replace,.js,76
remove,.js,76
If,.js,76
role,.rb,76
http,.js,75
255,.css,75
name,.rb,75
format,.js,74
dialog,.js,74
6,.css,74
application,.rb,73
handler,.js,72
label,.js,72
api,.log,72
list,.js,72
f6f6f6,.css,72
v1,.log,72
rules,.js,72
popup,.css,71
so,.js,71
002s,.log,71
are,.js,71
return,.rb,71
css,.js,70
g,.rb,70
rgba,.css,70
000s,.log,69
Rails,.rb,69
ordered,.log,69
support,.js,69
fff,.css,69
where,.rb,69
10,.js,68
active,.js,68
Mongoid,.rb,68
popup,.js,68
name,.css,68
find,.rb,68
all,.js,67
it,.rb,67
size,.css,67
f1f1f1,.css,66
for,.rb,66
lte,.log,66
e0e0e0,.css,66
d0d0d0,.css,66
translateX,.css,66
extend,.js,66
text,.scss,66
and,.rb,66
content,.css,66
a,.rb,66
puts,.rb,66
x,.css,66
test,.rb,66
left,.js,66
break,.js,65
mode,.js,65
corner,.js,64
scale,.css,64
f,.rb,64
click,.js,64
prop,.js,64
refresh,.js,64
back,.js,63
m,.js,63
y,.css,63
2f3e46,.css,63
Opera,.css,62
style,.js,62
Saf4,.css,62
module_id,.log,62
item,.js,62
Saf5,.css,62
FF3,.css,62
11,.css,62
IE10,.css,62
screen,.js,61
grid,.css,61
container,.js,61
controller,.rb,61
unless,.rb,61
sans,.css,61
serif,.css,61
index,.rb,61
default,.js,61
jquery,.js,61
com,.rb,60
Helvetica,.css,60
admins,.log,60
text,.rb,60
hidden,.js,60
Arial,.css,60
focus,.js,59
Date,.js,59
when,.js,59
use,.js,59
fn,.js,58
3,.js,58
message,.js,58
parent,.js,58
prototype,.js,58
id,.js,57
controlgroup,.css,57
mini,.css,57
TODO,.js,57
children,.js,57
will,.js,57
my,.log,56
p,.rb,56
option,.js,56
offset,.js,56
shadow,.js,55
q,.log,55
call,.js,55
with,.rb,55
my,.rb,55
This,.js,55
bcecff,.css,54
f0f0f0,.css,54
collapsible,.js,54
parseInt,.js,54
slider,.js,54
auth,.rb,53
iconpos,.js,53
scale,.js,53
color,.scss,53
each,.js,53
have,.js,52
status,.rb,52
opacity,.css,52
header,.css,52
history,.js,52
inline,.css,52
first,.rb,52
rails,.rb,52
need,.js,51
getMonth,.js,51
which,.js,51
handle,.js,51
contain,.css,51
when,.rb,51
btn,.scss,51
align,.css,51
ui,.scss,51
key,.js,50
duration,.css,50
request,.rb,50
each,.rb,50
keyframes,.css,50
comments,.log,49
closest,.js,49
pos,.js,49
getDate,.js,49
31,.log,49
state,.js,49
form,.js,49
notes,.rb,49
url,.css,49
_offset,.js,49
application,.log,48
by,.js,48
textarea,.css,48
vclick,.js,48
width,.js,48
My,.log,48
com,.js,48
session,.rb,48
rspec,.rb,48
pending,.log,48
12,.js,48
dddddd,.css,48
identity,.rb,48
all,.scss,48
param,.js,48
check,.js,47
title,.js,47
datebox,.css,47
Document,.rb,47
pageContainer,.js,47
can,.js,47
location,.js,47
checkbox,.css,47
align,.scss,47
mini,.js,46
field,.css,46
footer,.css,46
create,.js,46
size,.scss,46
2,.rb,46
this,.rb,46
height,.js,46
background,.scss,46
slider,.css,46
provider,.rb,46
border,.scss,46
000000,.css,46
no,.js,45
should,.rb,45
The,.js,45
button,.css,45
typeof,.js,45
getHours,.js,45
has,.js,45
orientation,.js,45
8,.rb,44
test,.js,44
ns,.js,44
edit,.rb,44
overlay,.css,44
transition,.scss,44
hidden,.css,44
change,.js,44
radio,.css,44
vendor,.js,44
bottom,.js,43
expect,.rb,43
zoom,.js,43
get,.rb,43
cTheme,.js,43
absolute,.css,43
object,.js,43
only,.rb,43
collapsible,.css,42
jinda_runseqs,.log,42
span,.js,42
add,.js,42
node,.rb,42
padding,.scss,42
03,.log,42
2024,.log,42
before_action,.rb,42
insert,.log,42
overflow,.css,41
ApplicationController,.rb,41
pickerContent,.js,41
keywords,.rb,41
belongs_to,.rb,41
omniauth,.rb,41
make,.js,41
ele,.js,41
utf,.rb,41
encoding,.rb,41
env,.rb,41
thisRow,.js,41
describe,.rb,40
listview,.js,40
domain,.js,40
save,.rb,40
rotateY,.css,40
adv,.js,40
auth_token,.rb,40
https,.rb,40
string,.js,40
start,.js,40
control,.js,40
mongoid,.rb,39
step,.js,39
FileUtils,.rb,39
events,.js,39
unbind,.js,39
xml,.rb,39
org,.js,39
reverse,.js,39
label,.css,39
html,.rb,39
say,.rb,39
one,.js,39
valid,.js,38
pageX,.js,38
fieldsOrder,.js,38
method,.rb,38
default,.rb,38
mobile,.css,38
getFullYear,.js,38
not,.rb,38
pages,.js,38
close,.js,38
9,.js,38
scroll,.js,38
h,.js,38
browser,.js,38
field,.js,37
pageY,.js,37
min,.js,37
image,.rb,37
filter,.js,37
new,.log,37
Doc,.rb,37
margin,.scss,37
panel,.js,37
match,.js,37
inset,.css,37
should,.js,37
child,.css,37
38,.log,37
content,.js,37
sure,.js,37
buttonMarkup,.js,37
dir,.js,37
in,.css,36
gem,.rb,36
indexOf,.js,36
last,.js,36
devs,.log,36
search,.js,36
sitemap,.log,36
all,.css,36
min,.css,36
comments,.rb,36
touch,.js,36
ctrs,.log,36
controlsInput,.js,36
none,.js,35
select_note,.rb,35
of,.rb,35
listview,.css,35
DOM,.js,35
split,.rb,35
max,.js,35
3s,.scss,35
after,.js,35
at,.js,35
3,.css,35
class_name,.rb,35
desc,.rb,35
important,.css,35
5,.js,35
setTimeout,.js,35
ease,.scss,35
browsers,.js,35
ma_display,.rb,34
uid,.rb,34
is,.rb,34
Article,.rb,34
wrapper,.js,34
but,.js,34
code,.js,34
used,.js,34
ip,.rb,34
changePage,.js,34
focus,.css,34
use,.rb,34
any,.js,34
for,.log,34
created_at,.rb,34
activeBtnClass,.js,34
corners,.js,34
