Token,Count,Category
-,15876,CSS
=,2854,JavaScript
ui,2795,CSS
-,2291,JavaScript
//,2121,JavaScript
/*,2039,CSS
*/,2001,CSS
background,1728,CSS
this,1461,JavaScript
if,1320,JavaScript
the,1217,JavaScript
=,1085,Ruby
end,945,Ruby
function,944,JavaScript
+,935,JavaScript
=>,878,Ruby
that,862,JavaScript
self,838,JavaScript
/,772,Ruby
color,723,CSS
btn,694,CSS
/,663,JavaScript
ui,640,JavaScript
image,631,CSS
border,617,CSS
to,608,JavaScript
linear,597,CSS
mobile,596,JavaScript
gradient,588,CSS
a,537,CSS
webkit,531,CSS
body,521,CSS
bar,515,CSS
%>,506,ERB
o,496,JavaScript
options,495,JavaScript
shadow,486,CSS
element,476,JavaScript
return,467,JavaScript
a,457,JavaScript
left,428,CSS
var,422,JavaScript
===,419,JavaScript
font,414,CSS
||,410,JavaScript
moz,410,CSS
&&,397,JavaScript
page,395,JavaScript
>,392,JavaScript
is,379,JavaScript
link,378,CSS
def,378,Ruby
end,372,CSS
=,372,ERB
start,372,CSS
radius,370,CSS
icon,368,CSS
false,368,JavaScript
c,366,CSS
d,359,CSS
b,356,CSS
event,355,JavaScript
>,350,ERB
e,349,JavaScript
true,339,JavaScript
e,338,CSS
-,334,Ruby
!,333,JavaScript
for,323,JavaScript
i,320,JavaScript
<,314,JavaScript
<%=,314,ERB
top,311,CSS
in,308,JavaScript
data,301,JavaScript
%,283,CSS
global,278,CSS
bottom,271,CSS
text,270,CSS
do,260,Ruby
type,256,Ruby
+,251,CSS
jqmData,250,JavaScript
f,242,ERB
and,241,JavaScript
bup,240,CSS
bdown,240,CSS
bhover,240,CSS
right,238,CSS
xvars,235,Ruby
url,233,JavaScript
width,232,CSS
user,229,Ruby
<,222,ERB
config,220,Ruby
window,219,JavaScript
code,218,Ruby
field,217,Ruby
*,214,JavaScript
-,214,ERB
attr,211,JavaScript
hover,210,CSS
bind,210,JavaScript
length,207,JavaScript
if,206,Ruby
we,203,JavaScript
value,203,JavaScript
margin,200,CSS
else,197,JavaScript
div,196,JavaScript
|,192,Ruby
<%,188,ERB
document,188,JavaScript
theDate,186,JavaScript
addClass,186,JavaScript
f,184,CSS
g,184,CSS
of,181,JavaScript
input,181,JavaScript
params,181,Ruby
theme,177,JavaScript
to,177,Ruby
to,173,CSS
undefined,168,JavaScript
role,168,JavaScript
weight,168,CSS
String,168,Ruby
box,167,CSS
